date,open,high,low,close,volume
2026-09-23,183.41,192.31,181.30,182.11,17539108
2026-09-22,168.50,187.20,168.30,182.56,23717690
2026-09-21,161.05,176.86,159.06,172.94,21018300
2026-09-18,158.35,159.79,150.26,154.04,20229600
2026-09-17,152.50,161.96,149.50,158.07,19175000
2026-09-16,145.26,148.93,142.30,145.62,8832100
2026-09-15,146.00,148.70,141.16,143.77,8414700
2026-09-14,144.93,147.34,139.02,146.69,10963000
2026-09-11,137.90,149.73,135.01,143.97,15409300
2026-09-10,134.86,137.13,130.38,136.62,7873500
2026-09-09,140.29,143.94,135.52,135.61,8650500
2026-09-08,145.98,147.50,139.70,140.33,10308600
2026-09-04,153.62,154.69,141.52,145.55,14966500
2026-09-03,145.95,150.20,142.78,148.87,13290400
2026-09-02,151.40,156.41,146.54,150.81,16563200
2026-09-01,140.25,154.70,138.09,154.27,25831700
2026-08-31,134.10,144.20,133.85,140.34,18570700
2026-08-28,137.19,138.80,133.33,137.99,25820600
2026-08-27,144.18,148.59,138.54,142.77,24993200
2026-08-26,154.20,156.13,145.10,149.66,22009500
2026-08-25,143.50,161.37,141.21,158.83,49225700
2026-08-24,142.70,145.50,130.00,138.89,31587200
2026-08-21,133.11,159.47,132.42,145.13,87316100
2026-08-20,150.14,155.00,128.61,133.32,99499900
2026-08-19,116.02,176.66,114.46,174.38,199252300
2026-08-18,63.04,64.46,62.13,62.96,4305000
2026-08-17,64.78,65.53,62.91,64.46,3979600
2026-08-14,62.89,63.78,60.82,63.32,4700900
2026-08-13,63.80,65.33,62.33,63.65,8159700
2026-08-12,60.58,64.26,59.29,63.67,6582000
2026-08-11,60.21,61.40,58.60,60.57,6556300
2026-08-10,59.75,60.77,58.41,59.81,6224500
2026-08-07,54.79,59.42,54.62,59.17,6820600
2026-08-06,57.54,59.00,53.71,53.86,5640300
2026-08-05,58.00,59.45,55.58,56.26,5163300
2026-08-04,56.84,58.34,55.88,56.99,4000100
2026-08-03,54.92,58.00,52.66,55.14,5176700
2026-07-31,57.85,59.49,54.71,54.82,7764500
2026-07-30,55.97,58.08,54.52,57.92,4458300
